Name,Glass,Paper & Card,Metal,Plastic,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Rubble,Paint
Devon County Council,255.11,1327.76,1676.369,383.777,8550.95,4866.04,1878.566,55.419,8.445,0,115.51,30.265,485.647,730.822,0,0,255.008,825.067,0
Epping Forest Borough Council,799.08,12.63,0,0,4884.92,0,44.791,0,0,0,0,0,2.4,21.2,2495.7,15.527,0,0,0
Gosport Borough Council,268.12,40.54,0,0,111.16,0,3.16,0,0,0,0,0,0,62.17,1023.6,0,0,0,0
Malvern Hills District Council,126.71,30.97,0,0,638.24,0,2.859,0,0,0,0,0,0,18.47,1846.82,0,0,0,0
East Hertfordshire District Council,0,695.46,0,0,4252.1,0,11.87,0,0,0,0,0,0,14.45,2348.6,0,0,0,0
Canterbury City Council,0,1000.61,0,0,3845.38,0,5.31,0,0,0,0,0,0,13.159,1874.28,0,0,0,0
Blackpool Borough Council,118.48,1175.2,140.534,42.66,1242.74,614.68,169.807,3.36,0,93.86,30.5,3.2,28.114,38.478,1541.18,0,3.91,206.8,1.84
Leicestershire County Council,95.1,877.856,1158.793,434.972,5613.59,0,989.808,22.649,0,0,76.18,35.988,61.864,209.49,0,42.309,0,0,0
Blaby District Council,45.511,50.67,4.86,1.36,2233.1,0,10.948,0.71,0,0,0,0,0.55,34.321,2281.28,15.3,0,0,1.546
Broxtowe Borough Council,492.545,3.19,0,0,2353.76,0,0,0,0,0,0,0,0,14.078,1752.58,0,0.405,0,0
Suffolk Coastal District Council,929.02,82.94,149.1,0,4627.04,32.24,0.27,5.9,0.6,0,0,0,0,67.74,2530.71,0,0,0,0
Stratford-on-Avon District Council,0,0,0,0,5997.28,0,5.62,0,0,0,0,0,0.59,3.412,3542.56,0,0,0,0
Sunderland City Council,0,1037.45,184.29,87.88,3913.26,0,181.27,1.83,14.55,0,59.36,2.84,70.65,283.12,3791.17,0,0,1140.97,0
Kirklees MBC,1293.75,294.85,263.91,17.84,5041.63,1357.81,293.91,8.19,23.54,0,125.88,12.93,20.94,65.58,5792.22,0,1.27,2641.95,18.85
Wycombe District Council,55.18,2929.58,0,0,7790.6,0,21.67,0,0,0,0,0,0,42.12,3100.08,0,0,0,0
Portsmouth City Council,555.99,150.74,351.17,22.9,1651.33,108.56,118.05,8.3,0,219.41,55.17,4.84,118.12,112.99,2160.62,0,0,835.46,0
Stevenage Borough Council,479.26,780.28,0,0,1937.8,0,9.35,0,0,0,0,0,0,12.168,305.66,0,0,0,0
Gravesham Borough Council,252.91,22.11,1.38,0.37,1393.36,0,20.02,0,0,0,0,0,0,15.62,1392.24,0,0,0,0
Hinckley and Bosworth Borough Council,61.29,1050.08,0,5.02,3291.9,0,12.414,0,0,0,0,0,9.08,5.662,1218.24,45.305,0,0,0.337
Broadland District Council,9.121,5.898,0.04,0.75,4008.08,0,13.892,0,3.34,0,0,0,0,6.915,3032.961,0,0,0,0
Northamptonshire County Council,62.59,899.37,1278.06,334.79,4253.23,0,1126.79,30.26,8.3,0,323.64,37.11,438.96,174.17,0,0,0.53,4055.31,128.51
Lichfield District Council,2.722,5.24,0,0,4032.74,0,0,0,0,0,0,0,3,17.454,2952.97,0,0,0,0
Elmbridge Borough Council,0,2,0,0,3780.3,0,11.849,0,0,0,0,0,0,35.63,3408.84,0,0.44,0,0
City of London,0,0,0,0,47.8,0,6.51,0,0,0,0,0,18.45,7.58,220.87,0,0,0,0
Royal Borough of Kensington and Chelsea,0,50.77,45.84,0.04,307.19,0,82.53,0.97,0,0,0,0.9,0,59.18,4039.81,8.78,0.13,1.68,0
Darlington Borough Council,578.52,735.23,85.81,21.24,1263.78,409.52,127.15,0,5,0,19.96,0,0,59.89,376.64,38.27,0.72,3278.42,0
Winchester City Council,432.52,2.62,0,0,1480.78,0,5.94,0,0,0,0,0,0,51.53,1946.9,0,0,0,0
