Name,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Plastic,Furniture,Composite,Rubble,Paint
Test Valley Borough Council,621.78,1.04,7.451,1103.4,0,6.54,0,0,0,0,0,0,100.51,1897.19,0.52,0,2.32,0,0
Welwyn Hatfield Council,47.64,606.88,2.86,3634.57,0,8.643,0,0,0,0,0,0,17.96,1608.68,8.8,0,0,0,0
York City Council,1066.128,1907.322,486.205,6336.121,1021.24,237.74,5.18,0,0,17.12,2.38,0,97.63,542.8,512.486,0,2.66,0,0
Cherwell District Council,752.76,4.29,2.08,6113.49,0,18.98,2.85,0,0,0,0,0.22,98.97,2676.41,0,0,0,0,0
Telford and Wrekin Council,6.1,1621.39,187.93,5855.69,969.1,299.38,7.09,30.08,203.34,52.98,8.57,7.82,85.35,1821.08,12.42,25.05,0.44,515.98,50.09
South Staffordshire Council,21.03,19.24,0,4628.22,0,0,0,0,0,0,0,0,2.82,2766.84,0,0,0,0,0
Mole Valley District Council,0,43.03,0,2410.16,0,7.55,0,0,0,0,0,0,8.15,2402.52,0,0,0,0,0
Arun District Council,0,0,0,2302.44,0,12.1,0,0,0,0,0,0,34.7,3467.76,0,0,0,0,0
Stockport MBC,0,3464.27,0,11149.84,0,5.7,0,0,0,0,0,0,25.09,3181.88,0,0,0,0,0
Dudley MBC,1492.56,2786.407,204.26,9941.58,945.41,162.919,7.453,4.4,0,62.1,6.864,35.862,53.553,698.807,0.44,0,36.938,950.69,0
Lewisham LB,2.87,29.05,21.86,368.39,177,62.65,2.2,0,0,0,0,324.18,52.94,4806.78,2.34,0,110.01,192.91,0
North Somerset Council,1341.98,2991.82,612.3,8129.56,1966.7,445.68,13.08,0.81,0,67.48,9.4,17.1,128.46,0,523.86,0,0,1178.83,61.74
Fenland District Council,25.94,25.435,0,3933.38,0,0,0,0,0,0,0,15.245,30.952,2187.05,0.64,0,0,0,0
Halton Borough Council,2.28,112.53,184.12,2751.6,800.04,156,9.18,11.62,0,58.66,3.54,33.93,144.96,2085.96,100.61,0,0.45,764.08,1.17
Derbyshire County Council,66.82,756.88,1034.9,4114.54,3559.33,1018.67,29.23,70.08,0,245.6,30.5,196.11,226,0,343.17,0,0.84,2616.34,0
Southend-on-Sea Borough Council,17,108,170,4728,1073,183,0,0,0,56,0,195,13,3918,0,0,0,705,0
Worcester City Council,24.6,38.51,9.13,607.56,0,1.85,0,0,0,0,0,1.4,71.18,2586.74,0,16.73,0,0,0
Chorley Borough Council,33.05,864.92,0,3612.3,0,37.1,0,0,0,0,0,0,9.06,1604.28,0,13.9,0.81,0,0
East Lindsey District Council,558.04,0,0,4572.26,0,0,0,0,0,0,0,0,63.261,2585.16,0,0,0,0,0
West Oxfordshire District Council,485.79,84.685,19.32,4875.34,0,5.3,0,0,0,0,0,0,35.881,2362.14,16.35,0,0,0,0
Taunton Deane Borough Council,733.75,1092.6,120.06,2392.52,0,0,0,0,0,0,0,30.144,44.596,0,135.52,13.442,0,0,0
Surrey Heath Borough Council,40.4,31.95,8.74,1764.92,0,7.38,0.82,0,0,0,0,0,56.86,2647.56,5.8,0,0,0,0
Mid Sussex District Council,0,0,0,1784.37,0,4.46,0,0,0,0,0,0,13.34,3366.36,0,0,0,0,0
Wolverhampton MBC,0,129.2,156,9063.38,1136.84,170.98,0,8.04,0,114.9,8.15,0,26.98,4472.28,40.82,0,0,1054.82,0
Bexley LB,864,2699,351,7224,1343,241,10,18,0,17,6,311,352,1668,55,0,72,1586,0
Reading Borough Council,619.14,116.31,218.11,2556.32,0,197.12,8.53,0,297.93,76.24,4.91,3.97,108.76,2394.93,13.31,0,2.38,690.84,31.82
Carlisle City Council,659.79,1088.83,169.49,3254.18,0,0,0,0,0,0,0,8.088,0,0,277.32,0,0,0,0
Derby City Council,16.46,194.44,234.89,3322.43,1027.37,336.79,13.32,6.75,6.3,97.02,10.17,51.33,45.76,5122.74,103.59,0,0.15,67.98,2.63
East Sussex County Council,125.62,596.34,963.65,3884.96,2746.64,1019.62,33.75,34.42,1229.27,124.72,23.53,113.55,54.2,0,24.96,0,0,2017.2,12.04
Worcestershire County Council,65,701.41,1277.89,6765.4,3348.54,533.722,35.689,0,0,340.64,21.035,0,137.15,5.1,0,8.631,0.118,5944.858,0
East Riding of Yorkshire Council,133.92,487.679,662.76,16328.67,2284.82,695.03,25.61,46.82,0,163.76,13.25,1.28,147.964,8599.29,12.54,0,1.37,4063.27,0
Ashford Borough Council,0,0,0,2797.57,0,4.06,0,0,0,0,0,0,3.09,3178.08,0,0,0,0,0
Pendle Borough Council,28.47,703.1,0.13,921,0,39.57,0,0.47,0,0,0,0,21.94,1027.84,0.21,39.86,5.25,0,0
South Kesteven District Council,0,0,0,3600.72,0,0,0,0,0,0,0,0,0,4072.74,0,0,7.18,0,0
Richmondshire District Council,332.64,445.23,50.885,1077.56,0,2.44,0,0,0,0,0,0,38.103,0,73.625,0,1.871,0,0
Harrogate Borough Council,328.14,47.633,2.62,3921.93,0,6.62,0,0,0,0,0,0,44.93,2498.96,2.47,13.773,1.944,0,0
St Edmundsbury Borough Council,343.96,119.578,16.965,4243.1,1.54,17.812,0.46,0,0,0,0,12.1,52.413,2051.64,10.53,0,0,0,0
Rugby Borough Council,0,0,0,3912.44,0,0,0,0,0,0,0,0,4.34,2358.86,0,0,0,0,0
Greater Manchester WDA (MBC),0,1794.52,2849,6029.41,12033.48,2932.23,58.22,132.79,0,652.56,48.21,0,538.26,307.14,162.77,29.31,0,16604.24,0
Greenwich LB,0,12.18,149.44,4711.86,936.26,159.58,3.04,11.96,0,62.8,2.8,0.72,179.52,5062.84,0,0.839,27.44,1039.44,0
Tower Hamlets LB,0,7.3,9.16,359.69,197.8,65.16,1.04,0,0,0,1.36,0,97.85,2914.13,1.8,0,0,0,0.56
Bath and North East Somerset Council,1231.8,2284.98,554.29,4688.39,1224.81,287.08,15.39,15.43,0,93.16,8.12,21,83.89,0,339.39,6.08,0.38,1820.98,0
South Derbyshire District Council,81.74,854,4.63,4042.11,0,2.08,0,0,0,0,0,0.03,36.76,926.68,13.94,9.45,1.12,0,0
