,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Plastic,Composite,Rubble,Paint
Sedgemoor District Council,701.761,1203.8899999999999,106.922,2372.67,0.0,0.0,1.75,0.0,0.0,0.0,0.0,31.605,51.081,0.0,19.008,178.03300000000002,1.137,0.0,0.0
Suffolk County Council,576.869,752.7780000000001,1392.673,4320.137,3353.21,1325.3749999999998,43.383,0.0,0.0,123.8,28.521,10.686,237.74200000000002,0.0,47.79,565.0,4.922000000000001,2853.27,0.0
Wigan MBC,20.83,261.21999999999997,401.09999999999997,8832.34,1684.78,373.76,14.29,30.1,0.0,57.28,8.66,30.48,150.82,6921.2,0.0,213.3,0.0,2651.78,64.93
Knowsley MBC,13.97,10.11,0.0,3383.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.08,2829.21,0.0,0.0,2.06,0.0,0.0
Walsall MBC,0.0,146.01999999999998,162.64,8813.48,1116.28,185.68999999999997,1.9,8.84,0.0,0.0,3.7,0.0,30.92,5413.1,0.0,43.44,0.0,1023.6,0.0
Islington LB,6.14,86.44,73.44,1356.34,343.62,104.46,0.0,0.0,0.0,22.9,0.4,24.58,92.83,3589.77,45.28,24.52,0.0,431.84,0.0
West Berkshire District Council,1098.19,2269.05,323.28000000000003,7439.9,1038.74,366.42,15.120000000000001,17.0,0.0,66.05,6.7700000000000005,1.24,70.08,373.71,20.28,5.11,1.05,947.13,12.73
South Cambridgeshire District Council,0.0,1019.6800000000001,0.0,6685.48,0.0,1.01,2.86,0.0,0.0,0.0,0.0,14.64,11.44,3012.24,0.0,5.85,0.0,0.0,0.0
Middlesbrough Borough Council,531.179,1583.625,254.41,2952.693,564.588,125.94600000000001,2.205,7.281,375.552,14.265,2.259,0.0,7.593999999999999,0.0,0.0,224.931,34.38,2534.376,0.0
Barrow-in-Furness Borough Council,0.0,240.3,0.0,1505.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.003,0.0,1001.9399999999999,0.0,0.0,0.0,0.0,0.0
Torridge District Council,488.45,617.823,65.182,2311.835,0.0,16.303,0.366,0.0,0.0,0.0,0.0,23.46,19.397,0.0,6.441,74.777,0.0,0.0,0.0
Chelmsford Borough Council,926.8,1504.8,114.2,7010.91,0.0,6.800000000000001,0.0,0.0,0.0,0.0,0.0,134.932,17.48,0.0,0.0,340.18,0.0,0.0,0.0
Eastleigh Borough Council,816.6899999999999,40.23,0.0,1964.54,0.0,2.8200000000000003,1.28,0.0,0.0,0.0,0.0,0.0,86.39,1916.3400000000001,0.0,0.0,0.0,0.0,0.0
Herefordshire Council,47.72,198.42999999999998,488.21999999999997,2983.14,847.7,157.11,13.4,14.5,0.0,72.82,4.86,0.33,26.05,4274.16,6.15,2.27,0.08,1768.18,0.0
Broxbourne Borough Council,434.6,647.9200000000001,14.18,2913.12,0.0,8.633000000000001,0.78,0.0,0.0,0.0,0.0,0.0,24.59,262.37,0.0,0.0,0.0,0.0,0.0
Kent County Council,352.07,1646.26,2813.94,12739.91,7722.5,1569.2799999999997,102.58,8.94,0.0,367.36,59.39,5.81,355.13,0.0,2.21,0.0,0.77,11601.18,0.0
Ashfield District Council,625.5699999999999,8.18,0.0,1908.54,0.0,9.804,0.0,0.0,0.0,0.0,0.0,312.77,9.44,1926.62,0.0,0.0,0.0,0.0,0.0
Mid Suffolk District Council,972.13,163.46,10.64,3304.1099999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.45,54.586999999999996,3383.3100000000004,0.0,0.0,1.793,9.28,0.0
Nuneaton and Bedworth Borough Council,11.244,1100.912,11.76,4609.38,0.0,12.006,0.0,0.0,0.0,0.0,0.0,97.816,10.926000000000002,1417.42,0.0,0.0,0.0,0.0,0.0
